Name,rt,mz,Blank,Pool,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose 8TMS,"832,909819836565",73,"10809,2601409191","85857165,9499996","94285966,4999991","70623056,45","73617686,3000002","88187911,8499998","109114546,199999","95114616,3499998","86949949,6999996","89745505,9","58002564,2499997","77358810,4500004","8316,20973867588","79845218,5000004","56961330,5499995","99710283,35","102410763,949999","83034036,3999996","78729237,5999998","68338802,9500002","102904746,000001","1378552,61998028","81218064,75","12159,8841990247","89654405,1500004","54556642,5000002","55431448,4999998","82752910,7499992","56609982,8999998","56165636,6499998","55797768,0000002","101270071,35","858575,554614371","88107806,4499996"
Sucrose 8TMS,"827,742494302812",73,"35323,9574631573","27160098,3213407","28985254,3824285","28805604,363159","27994659,0556552","29962317,6818993","30581709,085683","26018074,8632018","27511108,3933611","26377473,498625","27011366,8038968","27532139,802181","66996,1","28255507,8148744","27502273,399504","26571983,1213656","28300106,3505266","28150394,6781035","27489293,7238407","28438770,7185689","28263872,3419899","3940088,85","29558598,7682482","26573,4000000003","30783383,7559803","29563114,6388151","27972871,5128955","29308812,5139435","28170077,1114201","29091639,094034","29937351,6080461","28614983,6989546","3098723,4","31958775,2221049"
,"575,564567459406",73,"65895,5842596236","46753538,75","53231415,4999996","36494761,3499997","42887001,7499995","47297855,2999995","41482311,2000003",48751843,"57346281,35","37897112,0999997","54307481,5499997","48727766,3500004","18187,1396750608","51415600,1000001","40940902,9000002","49459986,2499997","53505674,6499997","55706977,3500002","47469289,4499996","51457990,4999996","43558180,0500001","92666,9000994774","47047426,8999999","54082,2824645529","52291716,0499997","39741091,0500003","55171486,8999997","43700161,05","47615831,3999997","55821966,65","31384122,5999999","47803863,1499996","89022,4472327709","42868726,5499999"
Glucose,"584,724445826648",73,"23625,5401909484","20416534,9500001","28384333,4500003","12416607,6819621","8923506,05","26098357,2000002","17437952,4500002","33781537,4999998","29612663,4999996","21978191,7000001","18747711,2000002","20834723,5499999","10810,0374715696","21008798,4999999","15082583,3500003","17175164,5549994","24166307,9000002","26334539,0000001","21787428,3000003","18261322,3499998","15906689,2999996","28379,3423239596","23362995,65","45435,9892216801","21617637,2999999","13561487,3175083","10536253,7500002","19286247,9000002","12536663,8999998","18540830,1898749","10961961,35","21725255,8999999","37962,470312415","21557205,0499998"
Alanine 2TMS,"209,631749109055",116,"2703,3","10103663,15","10482457,9","6688827,7","9332322,34999999","9454096,05",17834297,"9437560,94999999",9689994,"9562596,35000001","1786354,7","10478891,7","6875,49999999998","10878287,8","6527569,74999998","15854944,35","11009626,8",12782200,"9650590,95000002","9200778,85000003","16870489,65","24274,95","9362822,94999999","14867,45","11386221,6","2340014,90000001","2842772,35","9316466,74999997","1466028,3",1226314,"5431481,59999999","12182935,3","36293,05","8783153,29999999"
,"332,1021536913",73,"133082,499999999","1575010,50000001","1198098,89999999","6948771,69999999","7817439,09999999","13421361,9430647","1131645,45","1479785,30000001","1217895,8","857909,750000003","6704244,15","2030011,49999999","16646,3324834112","1889485,7","4070636,54999999","761257,199999999","1114409,8","695872,150000005","2962783,9","6806093,60000004","1057474,5","260423,169835501","10354487,452153","129841,95","1834144,55","3411897,25000002","6628686,9","2753436,85","5714748,4","5477471,69999999","5548261,59999999","1420948,34999999","293187,902419376","8829442,21512124"
,"329,679270623856",73,"90430,7353990679","1477252,90854298","969241,179801177","6610484,11141779","7417762,19298572","17773406,35","847406,884700648","1142529,64638199","915808,40961448","577087,581929742","6195340,16222727","1783246,14119509","16313,4117663071","1778955,12926784","4022486,42041024","607718,274325975","956473,359751436","554049,609185874","2783196,45657711","6384453,14203101","790274,255718287","305220,700000001","14020916,6","71005,4797181754","1606929,83743905","3175730,73515573","6237388,75130095","2536645,82031341","5373233,17920407","5158329,85668688","5202682,24135345","1074867,53461061","345766,600000001","12100292,9000001"
,"662,464275174771",73,"26033,2029536271","3616605,54999998","9683935,02814628","2975327,14999999","3947069,25","9590286,9401899","15012598,727474","10525982,0339751","9801592,256074","10847906,8903828","6422142,49858196","2521026,3","71750,2355718131","2372810,30000002","1360610,6","3180701,39999998","5486719,64999998","3018289,7","4690956,64999997","5302707,02031251","8845699,15000003","105141,238976342","7362512,29999999","53361,5841535788","2369206,50000001","1741797,99999999","2778726,25000001","4207834,05","3386212,95","5894762,42524554","2145634,4","11616661,4392751","133061,609715598","7151115,80000001"
,"668,830902654071",73,"23154,387497979","3646407,16653443","7655606,55000007","2977710,75680368","3956905,1038704","9683929,25000008","15171571,2","10599147,2500001","9812178,90000006","10921884,35","6485589,94999999","3390407,98585965","81666,9","2869554,9880946","1919124,7064197","4192796,02843048","5497375,48798038","4061639,42642873","4748554,49814366","5370622,09999996","8869338,73372212","103359,144873617","7379498,65932088","53773,4886913981","3129659,36205663","2418439,53008258","2786651,26583707","4242713,16449335","3447496,5602362","6232615,34999999","2142747,29105178","11657445,65","132478,182258991","7156128,45626993"
,"593,006459053081",73,"6323,49553001486","6915670,2999999","7739648,711418","1886279,36387843","4085975,99999992","6452871,21865483","4681858,8","9329894,41677294","7988677,19518392","7250921,4","6587682,40718183","3386199,25000004","2949,73234869062","7004910,49999995","3343097,00000004","5189954,99999996","3134246,30000004","7998060,06223491","3348346,1","5524855,84679781","5236250,65000004","2262,38390827542","5925113,30272349","1905,72201576976","7524195,79999989","4318853,30000003","5020088,90480466","3385497,44999993","4862222,34999996","3481206,94999989","2985020,70000003","5628591,55056556","2887,67781859031","2379377,99999997"
