Name,rt,mz,S48,E0,E0,Pool,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose,"828,58",73,"11524436,3","7717963,95","7894027,05000007","9812950,05000003","12152507,5499998","10791181,8499999","12396873,8500002","5947950,15","9694940,35000009","9941001,60000003","1261,09999999998","8969242,6","5533125,95","12660024,05","13425846,6000002","10960868,45","9503287,99999994","7925715,55","14613594,25","69585,8","10360058,3000001","4565,4","11235204,9","6077443,95","6732323,70000004","10560623,7500001","6104123,75","6056776,7","5921205,34999994","15807468,6","115231,7","11160284,2000001"
Glucose,"582,8",73,"2214407,54999999","374029,173954021","657360,15","1439275,34999999","2365992,19999997","2691260,35000001","1248435,05","1729066,34999999","1424877,40000001","1370549,05000001","56,7857792184335","1310296,00000001","834471,999999995","843703,700000006","1805095,85000003","3028873,20000002","1357737,64999999","1564372,25000001","852269,550000005","859,48022757571","1661838,09999998","528,971970063273","1551430,95000001","456922,949999993","1909894,95","1312898,05000002","982015,200000007","1211904,74999999","402168,850000005","2446998,80000001","1263,77494181229","1515158,29999999"
,"573,6",73,"1842359,25","1476432,54999998","1652315,69999999","2004151,90000002","1870778,09999997","2485418,75","1459192,80000002","3504742,49999999","2486864,49999998","1840804,34999999","486,529844993666","2287210,05000001","1834914,85","2528748,15000001","2131897,45000001","3144243,05","1961873,50000001","2743523,20000001","1996305,14999999","1034,71833658322","2028627,2","992,686168531407","2738264,50000002","1616879,75","4228846,69999995","1935422,59999999","2925343,39999999","3634165,80000002","1025720,80000001","2708876,50000001","1632,48815488307","1934234,05000002"
L-Asparagine 3TMS,"543,46",73,"235035,799999999","238865,950000001","467557,550000002","438854,449999999","421429,199999997","286529,099999999","349561,350000003","278380,750000003","533200,299999993","398980,899999999","107,025692903035","512137,549999995","145088,8","358322,800000005","522158,399999995","403539,699999999","424274,000000003","465290,749999999","436336,199999995","5896,08078144948","473017,500000004","3418,16682736292","535326,749999998","393254,000000001","558374,9","369512,450000002","461099,799999999","196135,650000001","356333,349999999","1133194,7","6574,77487728891","387088,000000001"
,"668,19",73,"667994,850000004","231927,599999999","248538,549999999","155057,899999999","255534,95","170830,85","324169,999999998","181634,600000001","96712,4433338972","164449,25","745,447144255076","83283,135820233","60524,991719569","107996,012091395","131962,086013641","115894,341788833","137625,210100202","148561,100000001","257987,95","3977,33546574461","234985,3","2436,81716392095","93763,0800653116","71233,9413588136","97958,8665545261","119333,621376283","99996,3277021893","178939,1","72264,804414773","426641,100000002","7629,83452114868","191349,4"
,"662,17",73,"760305,356496901","240082,773445439","250595,564985469","153820,47299803","256486,49473337","238348,860528918","322481,054607372","182847,589105924","95339,5499999994","163062,918240846","846,871106697065","66442,3500000002","60241,9499999997","108527,1","131297,4","115933,15","137396,249999999","148141,620311206","255602,625579554","4098,18189134348","233478,616868469","2472,20583542833","70603,5000000006","70845,0499999995","97220,8499999996","119556,250000001","99268,5999999998","176736,317750544","72102,7500000003","427504,370451824","7793,6472622972","189798,94652562"
L-Alanine TMS,"195,83",116,"232276,050000001","149507,4","202818,35","238520,750000001","304373,399999999","311390,749999999","322704,5","70506,9000000002","341811,6","225069,250000001",218,"265780,850000001","177190,4","603359,500000002","391921,849999999","415342,699999999","265876,55","280714,750000001","663791,400000002","426,8","260775,800000001","270,550000000001","320223,75","84003,0499999999","113873,95","325279,949999999","57770,8999999999","46272,8499999999","168157,65","441438,449999999","611,600000000001","339909,750000001"
,"592,18",73,"239811,834209142","40292,5134674698","57175,10173464","121414,802820125","233055,290301849","284577,84565564","108142,448748108","151492,93480436","123441,545749299","115856,12398048","40,1432947909938","106472,052119276","67085,1371504651","94703,4041930564","146116,603516218","297304,837349757","117050,58602643","124351,799612863","85303,6745789612","129,72642276292","132488,015512074","88,8295835318984","131902,750269901","62264,7000000006","145176,974320646","111656,664094486","133185,849999996","72034,3499999991","39592,8904660364","182689,377452401","42,6401892653719","118100,366816983"
Chlorogenic acid nTMS,"1009,28",73,"241311,649999999","306613,549999999","516855,899999998","290466,449999999","155463,650000002","211607,999999998","193910,400000001","370697,150000002","297481,250000001","281996,499999999","353,947222871607","222956,150000003","291069,950000004","188381,050000002","144181,95","139367,000000001","261786,100000001","413929,100000005","145664,500000002","2746,04999999999","279844,450000001","306,627865919613","258232,199999999","209619,800000001","431457,950000003","253776,349999999","380620,350000002","242839,800000002","203110,750000001","166111,149999999","2226,77106823634","271980,799999999"
Asparagine 4TMS,"473,44",73,"31573,218857601","32139,3499999999","63698,8000000003","70394,1000000001","83645,1000000006","41460,6500000001","99163,1","50433,4999999997","95586,3500000005","54557,5499999996","112,579481168486","102074,75","16015,6502519744","126367,35","162431,95","86686,8499999998","115779,7","170315,7","106525,85","542,873140228084","49502,35","1221,6","82846,5999999999","67380,6","93528,2999999994","104249,85","99558,5500000005","45048,2500000001","67860,0499999999","362283,699999999","1355,27068965518","68374,3499999996"
